iter	Passed	Remaining
0	3104	3101074
1	5757	2872822
2	8504	2826265
3	11050	2751566
4	13722	2730690
5	16501	2733701
6	19328	2741891
7	22138	2745216
8	24807	2731604
9	27431	2715750
10	30168	2712407
11	33765	2779995
12	36660	2783408
13	39368	2772687
14	42103	2764799
15	44848	2758202
16	47563	2750288
17	50292	2743720
18	53199	2746767
19	55923	2740242
20	58696	2736397
21	61406	2729805
22	64065	2721380
23	66784	2715902
24	69497	2710386
25	72175	2703799
26	74943	2700724
27	77612	2694250
28	80207	2685574
29	82744	2675412
30	85516	2673078
31	88414	2674545
32	91123	2670207
33	93882	2667369
34	96572	2662651
35	99261	2657995
36	102062	2656378
37	104669	2649796
38	107478	2648375
39	109962	2639097
40	112587	2633446
41	115463	2633666
42	118104	2628516
43	120777	2624169
44	123566	2622355
45	126091	2615020
46	128837	2612380
47	131477	2607628
48	134055	2601775
49	136731	2597890
50	139444	2594765
51	142236	2593079
52	144908	2589206
53	147526	2584452
54	150192	2580573
55	152907	2577583
56	155698	2575857
57	158246	2570146
58	160768	2564115
59	163456	2560813
60	166216	2558642
61	168811	2553959
62	171409	2549372
63	173969	2544301
64	176695	2541698
65	178947	2532372
66	181515	2527673
67	184304	2526049
68	187029	2523538
69	189797	2521589
70	192574	2519737
71	195182	2515681
72	197805	2511865
73	200462	2508493
74	203119	2505134
75	205993	2504446
76	208426	2498405
77	211037	2494570
78	213743	2491874
79	216449	2489174
80	219306	2488176
81	221987	2485178
82	224549	2480868
83	227256	2478177
84	229888	2474682
85	232618	2472251
86	235218	2468444
87	237812	2464605
88	240264	2459337
89	243188	2458903
90	245889	2456194
91	248664	2454211
92	251069	2448604
93	253829	2446480
94	256681	2445232
95	259306	2441804
96	262076	2439742
97	264734	2436639
98	267406	2433667
99	269921	2429296
100	272678	2427106
101	275317	2423876
102	277963	2420710
103	280637	2417803
104	283440	2415992
105	286247	2414199
106	289033	2412213
107	291785	2409935
108	294504	2407374
109	296682	2400434
110	299387	2397800
111	302244	2396364
112	304908	2393397
113	307189	2387458
114	309932	2385133
115	312741	2383308
116	315505	2381124
117	318210	2378491
118	320910	2375814
119	323555	2372742
120	326112	2369033
121	328839	2366565
122	331510	2363696
123	334251	2361327
124	336949	2358648
125	339776	2356860
126	342423	2353827
127	345031	2350526
128	347796	2348301
129	350483	2345543
130	353144	2342612
131	355955	2340680
132	358665	2338068
133	361240	2334586
134	363913	2331742
135	366714	2329718
136	369463	2327348
137	372056	2324002
138	374841	2321860
139	377590	2319481
140	380294	2316829
141	382967	2313987
142	385718	2311613
143	388500	2309418
144	391154	2306460
145	393798	2303451
146	396547	2301054
147	399374	2299100
148	402030	2296162
149	404829	2294031
150	407695	2292272
151	410383	2289508
152	413198	2287445
153	415887	2284679
154	418466	2281316
155	420781	2276534
156	423663	2274832
157	426267	2271625
158	428715	2267607
159	431527	2265518
160	434371	2263588
161	437106	2261084
162	439863	2258684
163	442587	2256117
164	445380	2253894
165	448220	2251905
166	450574	2247476
167	453299	2244909
168	456029	2242371
169	458961	2240814
170	461719	2238394
171	464392	2235564
172	467053	2232675
173	469809	2230246
174	472448	2227255
175	475247	2225020
176	477915	2222173
177	480523	2219048
178	483191	2216202
179	485987	2213943
180	488559	2210665
181	491272	2208027
182	493968	2205314
183	496808	2203236
184	499411	2200110
185	502105	2197387
186	504840	2194843
187	507631	2192536
188	510476	2190458
189	513127	2187542
190	515883	2185076
191	518393	2181572
192	521183	2179250
193	523906	2176643
194	526646	2174106
195	529156	2170623
196	531791	2167659
197	534474	2164889
198	537196	2162284
199	539767	2159071
200	542464	2156362
201	545175	2153714
202	547919	2151192
203	550614	2148474
204	553508	2146531
205	556107	2143444
206	558771	2140605
207	561616	2138463
208	564330	2135814
209	566899	2132620
210	569540	2129702
211	572371	2127495
212	575149	2125081
213	577890	2122533
214	580565	2119738
215	583416	2117585
216	586204	2115197
217	588931	2112589
218	591652	2109957
219	594493	2107750
220	597238	2105198
221	599963	2102573
222	602757	2100192
223	605351	2097112
224	607871	2093780
225	610572	2091076
226	613283	2088404
227	616014	2085804
228	618940	2083854
229	621785	2081630
230	624568	2079192
231	627255	2076431
232	630108	2074219
233	632703	2071157
234	635253	2067953
235	638062	2065593
236	640783	2062944
237	643627	2060688
238	646511	2058557
239	649227	2055886
240	652018	2053453
241	654537	2050162
242	657062	2046899
243	659552	2043532
244	662141	2040476
245	664915	2037994
246	667623	2035306
247	670286	2032482
248	672934	2029613
249	675672	2027016
250	678390	2024361
